,CourseCode1,CourseNameEN1,CourseNameFR1,CourseContent1,SummaryEN1,Relationship,CourseCode2,CourseNameEN2,CourseNameFR2,CourseContent2,SummaryEN2
0,AR-219,Introduction to CAD Tools in architecture,Introduction aux outils CAO en architecture,"Types and families of software used in design and modelling. Digital documentation and digitalization. An approach to 2D Computer Aided Design using ""standard"" (CAD) software (AutoCAD) from basic geometric construction to detailing. Techniques of modelling of 3D geometry and stereotomy using an ""universal"" software package (Rhino). Composition and layout (CAD, digital images) using appropriate software<semicolon/> focus on the digital chain from design to printing to fabrication. Theoretical and pratical case studies of digital representation in architecture. As computer aided design in only one of many approaches to architectural representation, the course will be linked with geometric problems considered in ""Stereotomy"" course (AR-211).","Based around the theme of stereotomy, the student will acquire the basic concepts and skills of two dimensional computer aided design and representation. The introduction to multiple software give the student the ability to choose the right digital tools.",Depends on,MATH-124,Geometry for architects I,Géométrie pour architectes I,This course aims to reveal 3 of the founding principles of geometry. 1/ as an essential mathematic technique in the process of the conception of a project 2/ as a privileged field for parametric modeling software3/ as a component of the history of the culture of architecture.,"This course will present geometry in a historical perspective by succesively studying three of its layers: The main thread of the course is mainly historical, with a specific emphasis on the interferences between the development of the mathematical and geometrical disciplines. Concepts such as commensurability or symmetry will be placed in the context of both disciplines by examining texts and demonstrations. Moreover, this course supposes a very strong homology between geometrical theorems and the associative and parametric project. One like the other need an explicit definition of a hypothesis from which variable consequences can be deduced out of the modification of its initial data. This course is therefore an introduction to the parametrical culture, which will be explored even more in the 2nd year in the digital stereotomy course, and in 3rd year as a baccking course to the construction course."
1,AR-219,Introduction to CAD Tools in architecture,Introduction aux outils CAO en architecture,"Types and families of software used in design and modelling. Digital documentation and digitalization. An approach to 2D Computer Aided Design using ""standard"" (CAD) software (AutoCAD) from basic geometric construction to detailing. Techniques of modelling of 3D geometry and stereotomy using an ""universal"" software package (Rhino). Composition and layout (CAD, digital images) using appropriate software<semicolon/> focus on the digital chain from design to printing to fabrication. Theoretical and pratical case studies of digital representation in architecture. As computer aided design in only one of many approaches to architectural representation, the course will be linked with geometric problems considered in ""Stereotomy"" course (AR-211).","Based around the theme of stereotomy, the student will acquire the basic concepts and skills of two dimensional computer aided design and representation. The introduction to multiple software give the student the ability to choose the right digital tools.",Depends on,MATH-126,Geometry for architects II,Géométrie pour architectes II,"This course deals with the following subjects: perspective, descriptive geometry and an initiation to projective geometry.",Perspective. Conics. Planar and spatial vector geometry.
2,AR-402(y),Studio MA2 (Huang),Théorie et critique du projet MA2 (Huang),"The advent of new digital technologies has had a twofold impact on architectural thinking and urban design, transforming, on one hand, the processes for form generation and design production through algorithmic and parametric technologies, and, on the other hand, enabling an escape from the static fate of the built environment by facilitating dynamic interaction between inhabitants and their surrounding. Our interest in the orientation &#8220<semicolon/>Form + Type&#8221<semicolon/> is to explore meaningful form generating processes by the use of algorithmic and parametric tools and introduce the notion of digital vernacular in architectural and urban design thinking. In particular, we examine the potential of responsive morphogenetic design to explore intuitive form finding processes that address bio-climatic and socio-economic challenges. This Spring studio (the ""Xixinan Spring Studio"") builds on our fall studio, and explores in depth and at a finer architectural resolution the site-specific interventions in Xixinan, taking into account the material ecology, digital fabrication and traditional skills, off-site and on-site assembly, with a view to possibly realize a 1:1 prototype on site. The intellectual aim of the studio is to question the extent to which the data-scape can artificially generate architectural and constructive form. Our interest is directed at the decoding and recoding of two distinct domains of knowledge: exteriority which represents a many-layered geographic condition and anteriority which represents the embedded knowledge of local architectural typologies and systems. While the exteriority of geographic data is crucial to our research, we place a primary emphasis on the generative potential of typology- what we have called ""growth typologies"". Decoding anterior form and then recoding and deploying it across new territories allows us to challenge the role of architecture in urban developments of increased scale and complexity.","This studio explores meaningful form generating processes by the use of parametric tools and introduces the notion of the digital vernacular in architectural and urban design thinking. Our studio site will be Xixinan, our programme the rural return of the urban elite to the countryside.",Benefits from,AR-401(y),Studio MA1 (Huang),Théorie et critique du projet MA1 (Huang),"This studio explores meaningful form generating processes by the use of parametric tools and introduces the notion of the digital vernacular in architectural and urban design thinking. Our studio site will be Xixinan, our programme the rural return of the urban elite to the countryside.","The advent of new digital technologies has had a twofold impact on architectural thinking and urban design, transforming, on one hand, the processes for form generation and design production through algorithmic and parametric technologies, and, on the other hand, enabling an escape from the static fate of the built environment by facilitating dynamic interaction between inhabitants and their surrounding. Our interest in the orientation &#8220<semicolon/>Form + Type&#8221<semicolon/> is to explore meaningful form generating processes by the use of algorithmic and parametric tools and introduce the notion of digital vernacular in architectural and urban design thinking. In particular, we examine the potential of responsive morphogenetic design to explore intuitive form finding processes that address bio-climatic and socio-economic challenges. This studio (the ""Xixinan studio"") is the second in a planned series of design research projects focused on the theme of data-driven urbanism. While developing a base of digital evidence specific to each site, each studio will explore novel means of deploying this data to support design and generate form. The intellectual aim of the studio is to question the extent to which the data-scape can artificially generate urban form. Our interest is directed at the decoding and recoding of two distinct domains of knowledge: exteriority which represents a many-layered geographic condition and anteriority which represents the embedded knowledge of local architectural typologies and systems. While the exteriority of geographic data is crucial to our research, we place a primary emphasis on the generative potential of typology- what we have called ""growth typologies"". Decoding anterior form and then recoding and deploying it across new territories allows us to challenge the role of architecture in urban developments of increased scale and complexity."
3,AR-447,UE O: Concrete. Construction material,UE O : Béton. Matière de construction,"The goal for the Unité d<squote/>Enseignement is to understand the building material, from the perceptive and constructive points of view. The student will be able to draw up a concept defining the use of concrete in an architectural project.","In the framework of the concrete orientation, named Concrete Architecture, the UE O presents a sensitive, sensible and multidisciplinary approach of concrete as a building material.",Prepares for,AR-425,History of concrete,Histoire du béton,"Provide the student with a broad vision of the history of concrete construction, with particular attention to the study of forms, the composition of concrete and surface processings.","The objective of the course is to present the evolution of fabrication and implementation of cement and concrete as worked out by architects, engineers, building contractors and artists."
4,AR-447,UE O: Concrete. Construction material,UE O : Béton. Matière de construction,"The goal for the Unité d<squote/>Enseignement is to understand the building material, from the perceptive and constructive points of view. The student will be able to draw up a concept defining the use of concrete in an architectural project.","In the framework of the concrete orientation, named Concrete Architecture, the UE O presents a sensitive, sensible and multidisciplinary approach of concrete as a building material.",Prepares for,AR-448,UE P: Concrete. Construction and prefabrication,UE P : Béton. Construction et préfabrication,"In the framework of the concrete orientation, named Concrete Architecture, the UE P presents a sensitive, sensible and multidisciplinary approach of concrete as a building material.","The goal for the Unité d<squote/>Enseignement is to understand the building material, from the perceptive and constructive points of view. The student will be able to draw up a concept defining the use of concrete in an architectural project."
5,AR-448,UE P: Concrete. Construction and prefabrication,UE P : Béton. Construction et préfabrication,"The goal for the Unité d<squote/>Enseignement is to understand the building material, from the perceptive and constructive points of view. The student will be able to draw up a concept defining the use of concrete in an architectural project.","In the framework of the concrete orientation, named Concrete Architecture, the UE P presents a sensitive, sensible and multidisciplinary approach of concrete as a building material.",Benefits from,AR-425,History of concrete,Histoire du béton,"Provide the student with a broad vision of the history of concrete construction, with particular attention to the study of forms, the composition of concrete and surface processings.","The objective of the course is to present the evolution of fabrication and implementation of cement and concrete as worked out by architects, engineers, building contractors and artists."
6,AR-448,UE P: Concrete. Construction and prefabrication,UE P : Béton. Construction et préfabrication,"The goal for the Unité d<squote/>Enseignement is to understand the building material, from the perceptive and constructive points of view. The student will be able to draw up a concept defining the use of concrete in an architectural project.","In the framework of the concrete orientation, named Concrete Architecture, the UE P presents a sensitive, sensible and multidisciplinary approach of concrete as a building material.",Benefits from,AR-447,UE O: Concrete. Construction material,UE O : Béton. Matière de construction,"In the framework of the concrete orientation, named Concrete Architecture, the UE O presents a sensitive, sensible and multidisciplinary approach of concrete as a building material.","The goal for the Unité d<squote/>Enseignement is to understand the building material, from the perceptive and constructive points of view. The student will be able to draw up a concept defining the use of concrete in an architectural project."
7,AR-452,Architecture and construction of the city II,Architecture et construction de la ville II,"This series of courses will consist of a theoretical introduction, a presentation of historical references and an analysis of recent projects. The presence of the infrastructures will be introduced by the analysis of works by Hopper and Valéry. The mode of analysis will be mainly drawing. The relevance of possible strategies will be discussed, with particular attention to the articulation between analysis and project.",This course proposes multi-disciplinary approaches that could help to clarify the articulations of two specific scales of intervention: architecture and infrastructure.It aims at the study of the constitution of the character of a site where some elements seem to have nothing in common.,Benefits from,AR-451,Architecture and construction of the city I,Architecture et construction de la ville I,"This course proposes multi-disciplinary approaches that could help to the clarify the articulations of different scales of intervention (architecture, city, territory).It aims at the study of the constitution of the character of a site through the understanding of its relations to the distance.","This series of courses will consist of a theoretical introduction, a presentation of historical references and an analysis of recent projects. The discussion of the modes of openness will be based on the texts of Pétrarque, Laugier and C.Sitte, and on analysis of drawings of Le Corbusier and Louis Kahn. The historical references will question the emergence and the transformation of types and textures, and analyze specific situations such as the Capitoline Hill in Rome, the Piazza San Marco in Venice, and the evolution of the royal places in Paris from the Place des Vosges to the Place de la Concorde. Case studies will discuss works of outstanding figures such as Terragni or Asplund, and recent realisations, with the aim to clarify possible articulations between analysis and projects."
8,AR-485,,Political Economy of Design,"By integrating yet moving beyond the stylistic, technological or sociological aspects of the discipline, the discussion reviews the industrial elements that are likely to affect programmatic objectives, formal directions and technical outcomes of building projects. Such discussion has a strong comparative bent, and is coloured by the notion of innovation - what it means from a social, technical and cultural point of view, and how it enters and affects different building markets. Attention is directed at understanding the distinction between innovation on one side and invention and technological change on the other. In this context, architecture<squote/>s connection with planning and building disciplines is examined and criticised in the attempt to formulate a strategic framework for its use as an environmental policy instrument.","Political Economy of Design seeks to position and discuss architecture in relation to the world of production, economic interests and community benefits, at a local and global scale.",Benefits from,AR-487,,Technological Innovation,"Technological Innovation has three aims. It seeks to: a) examine how new products and processes are developed specifically in or for the building sector, b) discuss the elements constraining their dissemination, and c) lay out a theory of how success can be determined.","By looking at technical change as the result of specific industrial dynamics, the class will clarify how technological innovation in building takes on different meanings depending on context, markets and economic cycles. This type of understanding should inform building actors<squote/> strategies and government policy. The objectives embedded in the program can be described as follows:"
9,BIO-204,Integrated labo in Life sciences II,Labo intégré en sciences de la vie II,LISV I+II (annual course) Project: Cloning of a target cDNA and protein expression in mammalian cells. Theory and practice of the following techniques:,Students apply basic techniques in molecular biology to clone a cDNA of interest into an expression plasmid in order to produce its protein product in mammalian cells. They purify the recombinant protein and characterize it biochemically.,Prepares for,BIO-501,,Lab immersion I,"The student will engage in a laboratory-based project in the field of molecular medicine, neuroscience or bioengineering. Student projects will emphasize acquisition of practical skills in experimentation and data analysis.","A typical project will involve ""hands-on"" wetlab experimentation and data analysis, although theoretical and computationally-oriented projects are also possible. The projects are available on the web sites of SV laboratories or discussed directly with a potential head of lab. The students are confronted with the realization of a laboratory-based project integrating specific aspects of molecular medicine or neuroscience. This project will allow them to apply, to concrete problems, skills of domain and transversal skills acquired during their studies. Lab immersion I can be replaced by an industry internship."
10,BIO-204,Integrated labo in Life sciences II,Labo intégré en sciences de la vie II,LISV I+II (annual course) Project: Cloning of a target cDNA and protein expression in mammalian cells. Theory and practice of the following techniques:,Students apply basic techniques in molecular biology to clone a cDNA of interest into an expression plasmid in order to produce its protein product in mammalian cells. They purify the recombinant protein and characterize it biochemically.,Prepares for,BIO-503,,Lab immersion III,"The student will engage in a laboratory-based project in the field of molecular medicine, neuroscience or bioengineering. Student projects will emphasize acquisition of practical skills in experimentation and data analysis.","A typical project will involve ""hands-on"" wetlab experimentation and data analysis, although theoretical and computationally-oriented projects are also possible. The projects are available on the web sites of SV laboratories or discussed directly with a potential head of lab. The students are confronted with the realization of a laboratory-based project integrating specific aspects of molecular medicine or neuroscience. This project will allow them to apply, to concrete problems, skills of domain and transversal skills acquired during their studies."
11,BIO-204,Integrated labo in Life sciences II,Labo intégré en sciences de la vie II,LISV I+II (annual course) Project: Cloning of a target cDNA and protein expression in mammalian cells. Theory and practice of the following techniques:,Students apply basic techniques in molecular biology to clone a cDNA of interest into an expression plasmid in order to produce its protein product in mammalian cells. They purify the recombinant protein and characterize it biochemically.,Prepares for,BIO-504,,Lab immersion academic (outside EPFL) A,"The student will engage in a laboratory-based project in the field of molecular medicine, neuroscience, or bioengineering. Student projects will emphasize acquisition of practical skills in experimentation and data analysis.","A typical project will involve ""hands-on"" wet-lab experimentation and data analysis, although theoretical and computationally-oriented projects are also possible. The students must carry out an original research project in the field of molecular medicine, neuroscience, or bioengineering. This project will allow the student to apply the domain and transversal skills acquired during her/his previous studies to concrete research problems. Remark The student must download and complete the form &#8220<semicolon/>Lab immersion in academia&#8221<semicolon/> (http://sv.epfl.ch/masters_en<semicolon/> see Forms) and submit it to the SV Section (SSV). The form must be approved and signed by an EPFL supervising professor and the SSV section director. 1. Before you undertake a 22-credit lab immersion outside EPFL, you must identify an &#8220<semicolon/>EPFL mentor"" who will approve your proposed project, follow your progress, and assign the grades for your work. The mentor must be an EPFL professor (PATT, PA, or PO) who is affiliated with the SV section (SSV). 2. Before you undertake a 22-credit lab immersion outside EPFL your project must be approved by the SSV section. The process is straightforward: first, download the project proposal form from http://sv.epfl.ch/master_en (under &#8220<semicolon/>FORMS&#8221<semicolon/>)<semicolon/> second, fill out the form<semicolon/> third, have the form signed by the student and the EPFL mentor<semicolon/> fourth, submit the signed form to the EPFL-SSV section director for approval. You may not leave EPFL until your project has been approved. 3. Each 22-credit lab immersion is divided into two 11-credit blocks (""block A"" and ""block B""). Each 11-credit block will be graded separately. However, both blocks must be taken together<semicolon/> you may not take just one 11-credit block. The 22-credit lab immersion is considered to be ""full time"" during the semester. 4. You may do either a 22-credit lab immersion in industry or a 22-credit lab immersion in academia but you may not do both. In other words: you may do only one 22-credit lab immersion outside EPFL. 5. The courses &#8220<semicolon/>SHS: Introduction to the project&#8221<semicolon/> (fall semester) and &#8220<semicolon/>SHS: Project&#8221<semicolon/> (spring semester) must be completed before beginning the Master thesis project. Thus, if a student does a 22-credit lab immersion outside EPFL before the second year of the Master cycle this will delay completion of the Master cycle by at least one semester. 6. External Master students must validate at least 90 ECTS credits within EPFL. This implies that external Master students may do a 22-credit lab immersion outside EPFL or a 30-credit Master thesis project outside EPFL but they may not do both."
12,BIO-204,Integrated labo in Life sciences II,Labo intégré en sciences de la vie II,LISV I+II (annual course) Project: Cloning of a target cDNA and protein expression in mammalian cells. Theory and practice of the following techniques:,Students apply basic techniques in molecular biology to clone a cDNA of interest into an expression plasmid in order to produce its protein product in mammalian cells. They purify the recombinant protein and characterize it biochemically.,Prepares for,BIOENG-390,,Project in bioengineering and biosciences,The student will engage in a laboratory-based project in the field of life sciences or engineering. Student projects will emphasize acquisition of practical skills in experimentation and data analysis. Students will acquire skills in information literacy.,"A typical project will involve ""hands-on"" wetlab experimentation and data analysis, although theoretical and computationally-oriented projects are also possible. The projects are available on the web sites of SV laboratories or discussed directly with a potential head of lab. The students are confronted with the realization of a laboratory-based project integrating specific aspects of molecular medicine or neuroscience. This project will allow them to apply, to concrete problems, skills of domain and transversal skills acquired during their studies. The students are required to attend two mandatory information literacy modules at the beginning of the semester (2-3 hours each). The aim of these modules is to train students to search for scientific information (e.g. information and database typologies, search methodology, presentation of citation databases), to manage the information they have found (e.g. use of Zotero - reference manager), and to (re)use the information they have found (e.g. how to cite to avoid plagiarism)."
13,BIO-377,"Physiology by systems II
",Physiologie par systèmes II,"Part 1: General introduction General overview of the course. Goals to achieve. Principle of systematics. Management of matter, energy, information. Introduction to mass, volume, time scales. Principles, definition and regulation of homeostasis in the human body. Part 2: The circulatory system Goals to achieve. Review of macro and microscopic anatomy. Laws of physics involved in the circulatory system. Role of the heart, arteries, capillaries and veins in blood circulation. Regulation and adaptation of the circulatory system. Control of blood flow, cardiac output, arterial pressure. Part 3: The kidneys and body fluids system Goals to achieve. Review of macro and microscopic anatomy of the kidney and urinary tract. Body fluids compartments. Explanation of the biology caracteristics and urine formation by the kidney. Regulation of urine excretion, extracellular fluids osmolarity, Na+ concentration and water, ionic and acid-base metabolism. Part 4: The respiratory system Goals to achieve. Review of macro and microscopic anatomy. Laws of physics involved in the respiratory system. Explanation of the biology caracteristics of the respiratory function. Relation between the pulmonary ventilation and circulation. Role of gas carriers in the respiratory system. Regulation of the respiratory system. Part 5: The gastrointestinal system Goals to achieve. Review of macro and microscopic anatomy. Explanation of the biology caracteristics of the digestion function. Role of motility, secretion, digestion, and absorption in the gastrointestinal system. Regulation of the gastrointestinal system. Part 6: Integrated metabolism and system for temperature regulation Goals to achieve. Review of macro and microscopic anatomy. Role of the energy storage and mobilization, signals transmission and transduction. Explanation of the biology caracteristics of the basal metabolism regulation. Effects of the normal feeding and starvation, of the metabolic adaptation and genes regulation. Regulation of the gastrointestinal system. Endocrine and nervous system regulation in the thermoregulation. Part 7: The endocrine system Goals to achieve. Review of macro and microscopic anatomy. Explanation of the biology caracteristics of the endocrine regulation. Coordination of body function by chemical messengers. Role of pituitary, adrenocortical, pancreatic and reproductive hormones in the regulation of the endocrine system.","The course aims at knowing and understanding the function of the cardiovascular, urinary, respiratory, gastrointestinal, basal metabolism and its regulation in the frame of a biomedical and scientific approach.",Benefits from,BIO-105,,Cellular biology and biochemistry for engineers,Basic course in biochemistry as well as cellular and molecular biology for non-life science students enrolling at the Master or PhD thesis level from various engineering disciplines. It reviews essential notions necessary for a training in biology-related engineering fields.,"The course gives basic knowledge on various phenoma taking place within a cell, and among cells within tissues and organs. The course gives an integrated view of various molecular mechanisms (rather in the second half of the class). It should therefore allow engineering students involved in future projects touching on biomedical problems to better integrate the constraints of a biological system and to enable them to communicate with specialists in both fields. This course is not available to students who had already taken basic cell biology or biochemistry classes during their Bachelor studies at EPFL or elsewhere. This applies for example to the course BIO-109 ""Introduction to Life Sciences for Information Sciences""."
14,BIOENG-315,,Materials science for bioengineers,"Fundamentals of materials science Fabrication, processing, and analysis of materials Applications in biomedicine and bioscience","The course presents materials science and engineering from the perspective of biological applications. Lectures provide solid fundamentals on the design, fabrication, and characterization of materials. Exercises provide instructive examples on how to implement biomaterials in biomedical research.",Prepares for,BIOENG-442,,Biomaterials,"This course covers the fundamental concepts behind the design, function and application of state-of-the-art biomaterials, that is, materials that are designed based on a molecular understanding of their interactions with biological systems.",Part I: Biological fundamentals Part II: Biomaterials classes Part III: Emerging design and applications of biomaterials
15,BIOENG-442,,Biomaterials,Part I: Biological fundamentals Part II: Biomaterials classes Part III: Emerging design and applications of biomaterials,"This course covers the fundamental concepts behind the design, function and application of state-of-the-art biomaterials, that is, materials that are designed based on a molecular understanding of their interactions with biological systems.",Benefits from,BIOENG-315,,Materials science for bioengineers,"The course presents materials science and engineering from the perspective of biological applications. Lectures provide solid fundamentals on the design, fabrication, and characterization of materials. Exercises provide instructive examples on how to implement biomaterials in biomedical research.","Fundamentals of materials science Fabrication, processing, and analysis of materials Applications in biomedicine and bioscience"
