,CourseCode,CourseNameEN,CourseNameFR,CourseContent,SummaryEN
0,AR-101,Studio BA1,Théorie et critique du projet BA1,,"The semester focuses on the tools and processes of architectural research and making through direct encounters with spatial problems. Through these encounters, students will approach space, site as a physical context where architecture can occur, and the relation of the two to their own body."
1,AR-102,Studio BA2,Théorie et critique du projet BA2,,"Semester 2 provides a laboratory condition in which students refine tools of architectural research and making with the aim of realizing an architectural project that deals with space, construction and program within an architectonic discourse."
2,AR-111,,,,
3,AR-112,,,,
4,AR-113,"Graphic figuration
",Figuration graphique,,"Training to the practice of architectural drawing through the various conventions of representation and graphic procedures, based on the use of paper and lead pencil."
5,AR-121,Theory of architecture I,Théorie de l<squote/>architecture I,"The objective of the course is an introduction to the various ways to consider the questions of architectural theories, with the following themes:","Provide the student with a broad vision of the basics of the architectural theorie. It means to understand separately the fundamental elements of architecture and to study their involvement in spatial conception, through the doctrines and the avant-gardes of the twentieth century."
6,AR-122,Theory of architecture II,Théorie de l<squote/>architecture II,See AR-121 Theory of architecture I.,"Provide the student with a broad vision of the basics of the architectural theorie. It means to understand separately the fundamental elements of architecture and to study their involvement in spatial conception, through the doctrines and the avant-gardes of the twentieth century."
7,AR-123,History of architecture I,Histoire de l<squote/>architecture I,,"Our architecture is heir to a building art born in the mediterranean East 5000 years ago. Every architect mustbe in possession of this heritage both on the field of programs and forms, as well as on the field of technique, on work site and in structures."
8,AR-124,History of architecture II,Histoire de l<squote/>architecture II,,"Contemporary architecture is heir to 5,000 years of accumulated experience, whose genesis lies in the Eastern Mediterranean. Given the wealth of information available to the architect today, it is imperative that he knows the sources, both in the realm of forms than in technology."
9,AR-132,,,,
10,AR-201(a),Studio BA3 (Bakker & Blanc A.),Théorie et critique du projet BA3 (Bakker & Blanc A.),"The superior didactic goal of the studio ""GLETSCH"" is the research for, and development of, relevant varieties of a sensual constructive continuity. The site will be in the alpine center of Europe where, increasingly, tourism is breaking out of its traditional boundaries. The focus is directed at the construction of ¿Gegenwelten¿, the spaces that are shaped by travelers, the local population and those who provide services, that area where wishes and needs must be created and simultaneously met. In the autumn semester we start the deep reading of the direct surrounding landscape and its cultural traces, which should result in constructive impulses to act. In the spring semester this will be followed by an astonishing but modest intervention in terms of adding, subtraction and transforming, considering all scales until the 1:1. In the project work we try to create a tactile direct relationship to the atmospheric potential of materiality.",MANSLAB will concentrate on the question of a programmatical and spatial assembling between different territories. This to provoke a densified physical and metaphysical manufacturing.
11,AR-201(g),Studio BA3 (Rey),Théorie et critique du projet BA3 (Rey),"The activities of the studio are designed as a synergy between theoretical interdisciplinary contributions and specific experimentations of their integration into the architectural project. This twofold approach simultaneously enables to face the questions of conceptual, spatial and expressive cohesion and to explore ways of turning the sustainability challenges into a ""raw material"" for the architect. The particular aim is to study interactions between issues of density, mixed land use and quality of life, to design buildings that take into account the principles of bioclimatic architecture and to develop construction details in accordance with fundamental notions of sustainability. The project exercises are based on the search for creative solutions appropriate to the development of a dense and mixed urban site. They are worked out successively on the specific scale of the urban form, the district, the building and its component parts.",By an approach situated at different intervention levels - from urban design to constructive detail - the studio aims to explore the strategies of sustainable architecture to redirect urban development inward and to generate urban densification close to public transport.
12,AR-201(m),Studio BA3 (Taillieu),Théorie et critique du projet BA3 (Taillieu),"GOOD HALF GOOD HOUSE As studio Jo Taillieu always deals with the idea of the reference - what is your frame of reference - but also the idea of the practice - starting from the detail immediately -<semicolon/> the studio is not only looking for a possible architecture regarding a simulated exercise but rather a possible architect in a studio simulating a practice. Observation - rather than analyse - and imagination - rather than concept - are part of this approach. A strong belief in the variety of media - from handmade drawing to crafted modelling not only as a result but rather as an ongoing method - are the instruments on the table. A studio where we take your pleasure seriously. Studio Jo Taillieu announces studio GOOD HALF / GOOD HOUSE. Representation of houses from selected architects will be the starting point for the exercises. Yet finding out about details in the precise making of that house. Splitting the house<semicolon/> coming to a new fragment as an open starting point that is never complete by reacting on a fascination of the existing house. It is about structure, about space, about circulation, about atmosphere. The fragment leads to a new half-house. By making the new half-house, we will come to a good house.","A house is the simple topic of this studio. A matter of simple complexity. Starting with a catalogue of references; halving the house; redefining a fragment by reinterpretating, continuing, disagreeing with the half; arriving at a good house. Learning about a house is learning about architecture."
13,AR-201(n),Studio BA3 (Lapierre),Théorie et critique du projet BA3 (Lapierre),,"From the abstraction of the structures underlying form - lines, grids, spirals, etc. - to the production of a specific project by means of the typological filter of Le Corbusierâ€™s work : architecture as abstraction and as culture."
14,AR-202(a),Studio BA4 (Bakker & Blanc A.),Théorie et critique du projet BA4 (Bakker & Blanc A.),See AR-201(a) Studio BA3 (Bakker and Blanc A.).,MANSLAB will concentrate on the question of a programmatical and spatial assembling between different territories. This to provoke a densified physical and metaphysical manufacturing.
15,AR-202(g),Studio BA4 (Rey),Théorie et critique du projet BA4 (Rey),See AR-201(g) Studio BA3 (Rey).,By an approach situated at different intervention levels - from urban design to constructive detail - the studio aims to explore the strategies of sustainable architecture to redirect urban development inward and to generate urban densification close to public transport.
16,AR-202(m),Studio BA4 (Taillieu),Théorie et critique du projet BA4 (Taillieu),See AR-201(m) Studio BA3 (Taillieu).,"A house is the simple topic of this studio. A matter of simple complexity. Starting with a catalogue of references; halving the house; redefining a fragment by reinterpretating, continuing, disagreeing with the half; arriving at a good house. Learning about a house is learning about architecture."
17,AR-202(n),Studio BA4 (Lapierre),Théorie et critique du projet BA4 (Lapierre),,From the analogy of natural objects to the abstraction of a concrete project: architecture as metaphor and as a tool for apprehending the world.
18,AR-210,Principles of architectural gestaltung,Figuration et représentation de l<squote/>architecture,,"The course proposes to introduce students to the principles and methods of the architectural survey. Furthermore, it<squote/>s the chance to broach the relationship between architecture and his territory through the recourse of the scientific survey and the representation vernacular architecture."
19,AR-211,Stereotomy,Stéréotomie,"The architectural profession has been established step by step by practical experiments and theoretical treaties about stereotomy, applied to carve stone (i.e. vaults, staircases) similar to carving wood (i.e. skeletons, assemblies). These treatises form the basis of the course and are useful in both geometrical problems and for those of architectural expression. On one side the craftmen knowledge, on the other side the mathematical and geometrical knowledge<semicolon/> for the architect to build, he needs to gathers these two forms of knowledge. Today, without losing the experience of the ancient times, the specificities of an architect<squote/>s job, are developped with new technologies. A narrow link will be established with drawing by hand and drawing with a computer mouse. The proposed exercices are chosen to develop the sens of observation and touch, as well the as the capacity of visualization and communication for future architects : For example : through representations in wash and watercolor, vinyl paint, in the form of sketches, studies, various forms of analysis and presentation boards. Possible optional introduction to stone cutting.","In the history of architecture, stereotomy is the art of designing and manufacturing complex volumes in 3 dimensions for vaults in stone or wooden bents. This course proposes a contemporary reinterpretation of stereotomy with digitals tools."
