,CourseCode,TagValue
0,MATH-381,logique mathématique
1,CHE-311,metabolic pathways (repetition)
2,AR-425,concrete
3,HUM-305,communication
4,AR-219,infographics
5,MSE-474,évaluation de matériaux
6,BIO-204,plasmid dna transfection
7,HUM-402(a),histoire
8,MICRO-611,nanoscale mosfet
9,BIO-636,susceptibility testing
10,CH-622,atom-economy
11,HUM-345,ambivalence sémiotique.
12,COM-414,canal de satellite
13,CH-610,organometallic
14,MATH-106(e),lagrange multipliers
15,MATH-115(a),bilinearity
16,BIOENG-404,gait analysis
17,MGT-407,energy innovation
18,ME-455,turbomachine radiale
19,MATH-101(en),convergence absolue
20,HUM-219,reflexivity
21,BIO-105,6.gene expression
22,AR-428,air conditionné)
23,PHYS-605,photonic bandgap
24,AR-447,matérialité.
25,CIVIL-330,ponts en métal
26,EE-396,power electronics
27,MATH-234(a),corrélation
28,PENS-214,ecosystem services
29,ENV-342,systèmes d<squote/>information géographique
30,HUM-439(d),presse.
31,MATH-111(f),linéarité
32,CHE-311,système d<squote/>absorption
33,MICRO-420,optics
34,HUM-339,middle east
35,BIO-482,sensory processing
36,CIVIL-532,hydration
37,PHYS-422,physique appliquée
38,MGT-483,analyse décisionnelle
39,HUM-225,materials
40,CH-438,hidden symmetry
41,ENG-474,sites pollués
42,AR-425,empreinte
43,ME-403,design process
44,PHYS-600,advanced systems
45,PHYS-314,spin
46,PHYS-336,sankey diagram
47,HUM-407(b),simplicity
48,EE-433,mixed-signal system
49,MSE-431,concetrated solution
50,ENG-382,anticipation
51,PHYS-600,nuclear safety
52,MATH-489,rsa
53,BIO-714,cytoskeleton
54,COM-500,outils statistiques
55,CS-473,embedded systems
56,MATH-126,projection
57,ENV-504,physico-chemical processes
58,ENV-424,gestion de l<squote/>eau
59,AR-428,architecture du xxe siècle
60,MATH-101(en),real numbers
61,ENG-366,systèmes embarqués
62,HUM-271,fins visées
63,MATH-111(pi),déterminant
64,HUM-407(b),typography
65,HUM-354,belief
66,ENV-301,napl
67,MATH-111(d),determinant
68,ENV-596,air
69,MGT-401,new product development
70,HUM-427(a),histoire
71,HUM-348,business plan
72,MICRO-315,object oriented concepts
