,CourseCode,PedagogicalName,NRegistrations
0,,,27283
1,,Admission EPFL,4577
2,,Bachelor semestre 1,20863
3,,Bachelor semestre 2,45205
4,,Bachelor semestre 3,14177
5,,Bachelor semestre 4,31576
6,,Bachelor semestre 5,18280
7,,Bachelor semestre 5b,663
8,,Bachelor semestre 6,23651
9,,Bachelor semestre 6b,2115
10,,Master semestre 1,14626
11,,Master semestre 2,26549
12,,Master semestre 3,15878
13,,Master semestre 4,1221
14,,Mineur semestre 1,284
15,,Mineur semestre 2,272
16,,Projet Master automne,1744
17,,Projet Master printemps,932
18,,Semestre -1,15913
19,,Semestre -2,14
20,,Semestre 0,111
21,,Semestre 1,60390
22,,Semestre 2,167
23,,Semestre 3,54805
24,,Semestre 4,208
25,,Semestre 5,92167
26,,Semestre 6,540
27,,Semestre 7,3340
28,,Semestre 8,9
29,,Semestre 9,38
30,,Semestre 10,387
31,,Semestre automne,16917
32,,Semestre printemps,18286
33,AR-101,Bachelor semestre 2,1690
34,AR-102,Bachelor semestre 2,1690
35,AR-111,Bachelor semestre 2,1692
36,AR-112,Bachelor semestre 2,1692
37,AR-121,Bachelor semestre 2,1921
38,AR-122,Bachelor semestre 2,1921
39,AR-123,Bachelor semestre 1,2327
40,AR-124,Bachelor semestre 2,1918
41,AR-131,Bachelor semestre 2,1918
42,AR-132,Bachelor semestre 2,1918
43,AR-133,Bachelor semestre 1,1443
44,AR-134,Bachelor semestre 2,1336
45,AR-151,Bachelor semestre 2,1468
46,AR-152,Bachelor semestre 2,1468
47,AR-201(a),Bachelor semestre 4,160
48,AR-201(b),Bachelor semestre 4,148
49,AR-201(c),Bachelor semestre 4,185
50,AR-201(d),Bachelor semestre 4,46
51,AR-201(e),Bachelor semestre 4,45
52,AR-201(f),Bachelor semestre 4,45
53,AR-201(g),Bachelor semestre 4,158
54,AR-201(h),Bachelor semestre 4,64
55,AR-201(i),Bachelor semestre 4,46
56,AR-201(j),Bachelor semestre 4,30
57,AR-201(k),Bachelor semestre 4,63
58,AR-201(l),Bachelor semestre 4,28
59,AR-202(a),Bachelor semestre 4,160
60,AR-202(b),Bachelor semestre 4,148
61,AR-202(c),Bachelor semestre 4,185
62,AR-202(d),Bachelor semestre 4,46
63,AR-202(e),Bachelor semestre 4,45
64,AR-202(f),Bachelor semestre 4,45
65,AR-202(g),Bachelor semestre 4,158
66,AR-202(h),Bachelor semestre 4,64
67,AR-202(i),Bachelor semestre 4,46
68,AR-202(j),Bachelor semestre 4,30
69,AR-202(k),Bachelor semestre 4,63
70,AR-202(l),Bachelor semestre 4,28
71,AR-211,Bachelor semestre 3,341
72,AR-211,Bachelor semestre 4,667
73,AR-212,Bachelor semestre 4,829
74,AR-213,Bachelor semestre 4,711
75,AR-214,Bachelor semestre 4,840
76,AR-216,Bachelor semestre 4,73
77,AR-218,Bachelor semestre 4,120
78,AR-219,Bachelor semestre 3,340
79,AR-219,Bachelor semestre 4,156
80,AR-220,Bachelor semestre 4,319
81,AR-221,Bachelor semestre 3,1200
82,AR-221,Semestre automne,1
83,AR-222,Bachelor semestre 4,1017
84,AR-222,Semestre printemps,1
85,AR-223,Bachelor semestre 3,1193
86,AR-223,Semestre automne,2
87,AR-224,Bachelor semestre 4,1004
88,AR-231,Bachelor semestre 4,1009
89,AR-232,Bachelor semestre 4,1009
90,AR-233,Bachelor semestre 3,571
91,AR-233,Bachelor semestre 4,128
92,AR-234,Bachelor semestre 4,691
93,AR-235,Bachelor semestre 4,242
94,AR-236,Bachelor semestre 4,122
95,AR-238,Bachelor semestre 4,95
96,AR-239,Bachelor semestre 3,183
97,AR-239,Bachelor semestre 4,777
98,AR-240,Bachelor semestre 4,777
99,AR-251,Bachelor semestre 4,245
100,AR-252,Bachelor semestre 4,245
101,AR-254,Bachelor semestre 4,97
102,AR-260,Bachelor semestre 4,141
103,AR-261,Bachelor semestre 3,792
104,AR-262,Bachelor semestre 4,324
105,AR-264,Bachelor semestre 4,52
106,AR-266,Bachelor semestre 4,62
107,AR-268,Bachelor semestre 4,94
108,AR-270,Bachelor semestre 4,54
109,AR-272,Bachelor semestre 4,27
110,AR-281,Bachelor semestre 3,134
111,AR-281,Bachelor semestre 5b,97
112,AR-282,Bachelor semestre 4,21
113,AR-284,Bachelor semestre 4,300
114,AR-286,Bachelor semestre 4,60
115,AR-288,Bachelor semestre 4,28
116,AR-301(a),Bachelor semestre 5,92
117,AR-301(a),Bachelor semestre 5b,84
118,AR-301(a),Semestre automne,32
119,AR-301(b),Bachelor semestre 5,113
120,AR-301(b),Bachelor semestre 5b,109
121,AR-301(b),Semestre automne,22
122,AR-301(c),Bachelor semestre 5,59
123,AR-301(c),Bachelor semestre 5b,43
124,AR-301(c),Semestre automne,26
125,AR-301(d),Bachelor semestre 5,120
126,AR-301(d),Bachelor semestre 5b,58
127,AR-301(d),Semestre automne,5
128,AR-301(e),Bachelor semestre 5,13
129,AR-301(e),Bachelor semestre 5b,11
130,AR-301(e),Semestre automne,6
131,AR-301(f),Bachelor semestre 5,14
132,AR-301(f),Bachelor semestre 5b,15
133,AR-301(g),Bachelor semestre 5b,15
134,AR-301(h),Bachelor semestre 5b,14
135,AR-301(h),Semestre automne,1
136,AR-301(i),Bachelor semestre 5b,13
137,AR-301(i),Semestre automne,2
138,AR-301(j),Bachelor semestre 5b,15
139,AR-301(k),Bachelor semestre 5,21
140,AR-301(k),Semestre automne,4
141,AR-302(a),Bachelor semestre 6,82
142,AR-302(a),Bachelor semestre 6b,48
143,AR-302(a),Semestre printemps,15
144,AR-302(b),Bachelor semestre 6,110
145,AR-302(b),Bachelor semestre 6b,62
146,AR-302(b),Semestre printemps,17
147,AR-302(c),Bachelor semestre 6,58
148,AR-302(c),Bachelor semestre 6b,26
149,AR-302(c),Semestre printemps,20
150,AR-302(d),Bachelor semestre 6,114
151,AR-302(d),Bachelor semestre 6b,29
152,AR-302(d),Semestre printemps,4
153,AR-302(e),Bachelor semestre 6,15
154,AR-302(e),Bachelor semestre 6b,15
155,AR-302(f),Bachelor semestre 6,12
156,AR-302(f),Bachelor semestre 6b,13
157,AR-302(f),Semestre printemps,5
158,AR-302(g),Bachelor semestre 6b,15
159,AR-302(h),Bachelor semestre 6b,13
160,AR-302(h),Semestre printemps,2
161,AR-302(i),Bachelor semestre 6b,15
162,AR-302(j),Bachelor semestre 6b,13
163,AR-302(j),Semestre printemps,2
164,AR-302(k),Bachelor semestre 6,24
165,AR-302(k),Bachelor semestre 6b,22
