source,target,type
1,696,indicative
1,444,indicative
1,576,indicative
2,715,indicative
2,405,indicative
2,613,indicative
3,829,indicative
3,251,indicative
3,751,indicative
4,213,indicative
264,4,indicative
4,799,indicative
5,144,indicative
5,953,indicative
685,5,indicative
6,21,indicative
534,6,indicative
6,575,indicative
7,144,indicative
7,826,indicative
641,7,indicative
435,8,indicative
8,440,indicative
8,755,indicative
9,13,indicative
499,9,indicative
9,597,indicative
12,213,indicative
12,735,indicative
570,12,indicative
507,13,indicative
883,13,indicative
940,13,indicative
14,755,indicative
430,14,indicative
14,368,indicative
202,15,indicative
239,15,indicative
297,15,indicative
263,16,indicative
16,756,indicative
16,220,indicative
435,17,indicative
17,440,indicative
340,17,indicative
499,18,indicative
558,18,indicative
18,40,indicative
821,20,indicative
422,20,indicative
610,20,indicative
21,813,indicative
194,21,indicative
563,21,indicative
22,748,indicative
613,22,indicative
596,22,indicative
502,23,indicative
54,23,indicative
193,23,indicative
608,24,indicative
242,24,indicative
351,24,indicative
189,25,indicative
25,666,indicative
188,25,indicative
580,26,indicative
564,26,indicative
579,26,indicative
438,27,indicative
27,961,indicative
579,27,indicative
28,350,indicative
938,28,indicative
28,254,indicative
523,29,indicative
190,29,indicative
29,296,indicative
506,30,indicative
389,30,indicative
526,30,indicative
858,31,indicative
301,31,indicative
821,31,indicative
32,783,indicative
584,32,indicative
499,32,indicative
33,201,indicative
33,663,indicative
193,33,indicative
319,34,indicative
585,34,indicative
305,34,indicative
707,35,indicative
186,35,indicative
281,35,indicative
437,36,indicative
952,36,indicative
348,36,indicative
39,756,indicative
39,296,indicative
693,39,indicative
218,40,indicative
40,768,indicative
40,778,indicative
422,41,indicative
450,41,indicative
641,41,indicative
186,42,indicative
42,364,indicative
392,42,indicative
660,43,indicative
43,447,indicative
59,43,indicative
44,296,indicative
435,44,indicative
607,44,indicative
430,45,indicative
688,45,indicative
277,45,indicative
46,134,indicative
242,46,indicative
184,46,indicative
49,351,indicative
516,49,indicative
49,663,indicative
50,498,indicative
50,430,indicative
50,597,indicative
51,942,indicative
51,884,indicative
51,65,indicative
52,942,indicative
52,601,indicative
52,884,indicative
53,133,indicative
53,56,indicative
53,942,indicative
54,67,indicative
54,268,indicative
54,599,indicative
55,455,indicative
55,552,indicative
627,55,indicative
191,56,indicative
712,56,indicative
810,56,indicative
58,366,indicative
58,743,indicative
58,350,indicative
534,59,indicative
59,597,indicative
526,59,indicative
60,960,indicative
60,799,indicative
60,133,indicative
420,61,indicative
61,110,indicative
61,212,indicative
62,109,indicative
62,107,indicative
62,73,indicative
435,63,indicative
528,63,indicative
211,63,indicative
65,758,indicative
423,65,indicative
131,65,indicative
336,66,indicative
66,372,indicative
556,66,indicative
67,351,indicative
67,292,indicative
67,665,indicative
71,68,indicative
438,68,indicative
110,68,indicative
940,69,indicative
941,69,indicative
390,69,indicative
627,70,indicative
702,70,indicative
390,70,indicative
522,71,indicative
564,71,indicative
580,71,indicative
72,751,indicative
72,399,indicative
72,440,indicative
563,73,indicative
515,73,indicative
694,73,indicative
730,103,indicative
144,103,indicative
825,103,indicative
438,104,indicative
821,104,indicative
885,104,indicative
566,105,indicative
601,105,indicative
948,105,indicative
197,106,indicative
556,106,indicative
711,106,indicative
268,107,indicative
107,374,indicative
107,132,indicative
108,820,indicative
552,108,indicative
430,108,indicative
109,829,indicative
241,109,indicative
109,141,indicative
110,813,indicative
537,110,indicative
110,394,indicative
111,820,indicative
111,298,indicative
111,767,indicative
868,112,indicative
112,820,indicative
112,807,indicative
116,876,indicative
116,140,indicative
116,137,indicative
117,881,indicative
117,143,indicative
117,868,indicative
118,202,indicative
118,739,indicative
118,429,indicative
119,124,indicative
119,133,indicative
119,122,indicative
120,140,indicative
122,874,indicative
423,122,indicative
122,356,indicative
123,881,indicative
123,810,indicative
326,123,indicative
124,134,indicative
124,133,indicative
124,443,indicative
126,865,indicative
126,945,indicative
126,364,indicative
128,668,indicative
128,737,indicative
128,890,indicative
495,130,indicative
130,748,indicative
130,399,indicative
131,356,indicative
131,887,indicative
131,721,indicative
287,132,indicative
427,132,indicative
855,132,indicative
876,133,indicative
940,133,indicative
941,133,indicative
715,134,indicative
558,134,indicative
430,134,indicative
497,137,indicative
137,746,indicative
137,399,indicative
438,138,indicative
421,138,indicative
859,138,indicative
865,139,indicative
504,139,indicative
139,757,indicative
140,872,indicative
949,140,indicative
140,143,indicative
711,141,indicative
742,141,indicative
458,141,indicative
338,142,indicative
868,142,indicative
827,142,indicative
883,143,indicative
346,143,indicative
806,143,indicative
144,751,indicative
515,144,indicative
144,357,indicative
181,707,indicative
181,462,indicative
181,329,indicative
182,943,indicative
182,204,indicative
182,696,indicative
183,704,indicative
183,743,indicative
183,422,indicative
184,597,indicative
184,551,indicative
184,951,indicative
853,185,indicative
939,185,indicative
185,744,indicative
186,732,indicative
186,693,indicative
186,650,indicative
187,696,indicative
187,743,indicative
187,200,indicative
188,458,indicative
188,397,indicative
188,710,indicative
189,205,indicative
189,730,indicative
504,189,indicative
190,485,indicative
190,522,indicative
190,775,indicative
191,606,indicative
191,194,indicative
191,219,indicative
690,192,indicative
192,204,indicative
192,200,indicative
193,203,indicative
193,205,indicative
193,742,indicative
318,194,indicative
938,194,indicative
194,960,indicative
196,195,indicative
195,225,indicative
195,202,indicative
196,477,indicative
196,255,indicative
196,771,indicative
197,748,indicative
197,655,indicative
536,197,indicative
198,440,indicative
198,452,indicative
198,399,indicative
857,200,indicative
429,200,indicative
200,372,indicative
442,201,indicative
428,201,indicative
515,201,indicative
527,202,indicative
202,357,indicative
202,753,indicative
268,203,indicative
712,203,indicative
552,203,indicative
505,204,indicative
579,204,indicative
548,204,indicative
205,350,indicative
860,205,indicative
205,213,indicative
951,206,indicative
706,206,indicative
668,206,indicative
557,209,indicative
577,209,indicative
261,209,indicative
211,728,indicative
211,255,indicative
508,211,indicative
212,748,indicative
369,212,indicative
317,212,indicative
744,213,indicative
611,213,indicative
687,213,indicative
499,214,indicative
317,214,indicative
